electrode_id,x_um,y_um,rms_uV,ptp_uV,peak_uV,latency_ms,duration_ms,ttmin_ms,ttmax_ms,delay_ms,speed_ms,filter,t_pre_s,t_post_s
22,2440.6639309962075,-1821.5020517528446,171.26664291000301,1062.7447817728785,702.3706076069054,3.5000000000000004,6.433333333333332,6.6,5.133333333333334,7.600000582578811,2.4146303364432558,IB2,0.001,0.02
23,4166.82991374526,-1821.5020517528446,88.98842691672296,523.7837507483309,331.68036081039435,3.566666666666667,6.299999999999999,6.733333333333333,5.033333333333333,7.7333339261328256,4.145675924224423,IB2,0.001,0.02
24,-4464.0,-95.33606900379255,,,,,,,,,,IB2,0.001,0.02
25,-2737.834017250948,-95.33606900379255,,,,,,,,,,IB2,0.001,0.02
26,-1011.6680345018963,-95.33606900379255,42.19644150576356,248.49368841413425,180.6886491957401,3.266666666666667,6.233333333333334,7.500000000000001,6.0,8.500000651568408,1.9544765626735479,IB2,0.001,0.02
27,714.4979482471554,-95.33606900379255,88.61680761607799,561.968536327658,341.2903661108003,3.366666666666667,5.433333333333332,7.266666666666667,5.866666666666667,8.266667300348882,1.67371226055333,IB2,0.001,0.02
28,2440.6639309962075,-95.33606900379255,,,,,,,,,,IB2,0.001,0.02
29,4166.82991374526,-95.33606900379255,,,,,,,,,,IB2,0.001,0.02
30,-2737.834017250948,1630.8299137452595,,,,,,,,,,IB2,0.001,0.02
31,-1011.6680345018963,1630.8299137452595,31.995251044302407,157.39797425203463,93.43344661843801,-1.0,20.96666666666667,8.6,6.1000000000000005,9.600000735889024,1.5478867516725536,IB2,0.001,0.02
32,714.4979482471554,1630.8299137452595,44.26625308818293,181.68238409073862,93.89764975363951,-1.0,20.96666666666667,8.6,6.200000000000001,9.600000735889024,1.2770075473080968,IB2,0.001,0.02
33,2440.6639309962075,1630.8299137452595,,,,,,,,,,IB2,0.001,0.02
0,-4464.0,-7000.0,49.00178250811096,247.13148285528962,159.23845871569975,-1.0,19.0,8.1,5.6,9.100000697561471,0.38576810464454464,IR,0.001,0.02
1,-2737.834017250948,-7000.0,139.55116096503247,895.9534069422177,603.35304458254,3.5000000000000004,6.366666666666665,4.366666666666667,5.933333333333334,5.366667078049073,0.7791615661222968,IR,0.001,0.02
2,-1011.6680345018963,-7000.0,243.4627494701522,1485.1953357503553,1014.4276259394883,3.5000000000000004,16.46666666666667,4.333333333333334,5.9,5.333333742160569,1.613360177920554,IR,0.001,0.02
3,714.4979482471554,-7000.0,248.717091451177,1643.7266400104577,1111.5573900919856,3.266666666666667,6.300000000000001,4.2,5.7666666666666675,5.200000398606555,1.7201981660357175,IR,0.001,0.02
4,2440.6639309962075,-7000.0,213.73708749523587,1483.07889566256,906.6210563057128,3.3,3.5666666666666678,4.166666666666667,5.666666666666667,5.166667062718051,1.9166408923398575,IR,0.001,0.02
5,4166.82991374526,-7000.0,82.54493420378193,418.04563426973965,327.8415395029036,-1.0,20.96666666666667,4.133333333333334,5.466666666666667,5.133333726829547,1.916640892339858,IR,0.001,0.02
6,-4464.0,-5273.834017250948,52.60406904926219,271.5186328870112,184.4908842263007,-1.0,20.96666666666667,5.633333333333334,4.4,6.633333841812208,0.7338741245405432,IR,0.001,0.02
7,-2737.834017250948,-5273.834017250948,102.292042760514,708.9288342116191,363.6512246051997,3.566666666666667,16.400000000000002,5.533333333333334,4.266666666666667,6.533333834146696,1.8034621527354346,IR,0.001,0.02
8,-1011.6680345018963,-5273.834017250948,243.14573187300186,1510.7069260939766,1046.351840499648,3.4333333333333336,5.766666666666667,5.4,4.133333333333334,6.400000490592683,1.9202612088619215,IR,0.001,0.02
9,714.4979482471554,-5273.834017250948,271.0410952915881,1723.0134679378325,1205.3951222233263,3.6,5.400000000000001,5.200000000000001,6.866666666666668,6.200000475261661,1.9558840489116338,IR,0.001,0.02
10,2440.6639309962075,-5273.834017250948,180.7423796079177,1120.2881724226334,696.531359204073,4.1000000000000005,5.300000000000002,5.066666666666667,6.800000000000001,6.066667131707647,2.19124077726944,IR,0.001,0.02
11,4166.82991374526,-5273.834017250948,81.28735822119644,571.1663335697534,298.7970350753634,3.4666666666666663,5.766666666666667,5.033333333333333,6.4,6.033333795819144,1.9902504032580364,IR,0.001,0.02
12,-4464.0,-3547.6680345018963,37.525702890455065,141.6902348063854,78.15798876280127,-1.0,20.96666666666667,3.4000000000000004,5.033333333333333,4.40000033728247,0.5705833583206433,IR,0.001,0.02
13,-2737.834017250948,-3547.6680345018963,85.59470057748499,546.0425830573574,361.409243142304,3.566666666666667,16.400000000000002,6.266666666666667,4.933333333333334,7.2666672236937755,1.0578268168716556,IR,0.001,0.02
14,-1011.6680345018963,-3547.6680345018963,158.9003675328897,1058.7275984213059,661.9321718428049,3.5333333333333337,5.233333333333332,6.1000000000000005,4.566666666666666,7.100000544251257,2.295316591545844,IR,0.001,0.02
15,714.4979482471554,-3547.6680345018963,260.32266229857237,1546.8137714800714,1202.0850428362137,3.7333333333333334,4.7666666666666675,5.933333333333334,4.3,6.93333386480874,2.4397975583900906,IR,0.001,0.02
16,2440.6639309962075,-3547.6680345018963,217.43694764228064,1244.9333030267514,949.938460014111,3.8666666666666667,5.066666666666668,5.733333333333333,7.566666666666666,6.733333849477718,2.2493842141059264,IR,0.001,0.02
17,4166.82991374526,-3547.6680345018963,110.99552369364501,641.2377192917345,471.9386743399694,3.7666666666666675,6.800000000000002,5.866666666666667,4.4,6.8666671930317325,2.045375000751146,IR,0.001,0.02
18,-4464.0,-1821.5020517528446,34.98397259792928,170.2865868756988,101.76720274644806,-1.0,20.96666666666667,7.566666666666666,5.800000000000001,8.566667323345415,0.8380526235450225,IR,0.001,0.02
19,-2737.834017250948,-1821.5020517528446,61.854176956933884,347.78431522350724,266.4135632835386,3.4000000000000004,5.500000000000002,7.366666666666666,5.833333333333334,8.366667308014392,2.3197360101242577,IR,0.001,0.02
20,-1011.6680345018963,-1821.5020517528446,120.3926818292672,750.9503193205079,406.8640699067513,3.333333333333333,5.033333333333335,6.866666666666668,5.133333333333334,7.86666726968684,2.14103541648369,IR,0.001,0.02
21,714.4979482471554,-1821.5020517528446,172.12375105615394,1130.9072255236385,633.5526348639696,3.5333333333333337,5.400000000000001,6.566666666666666,5.0,7.566667246690307,2.538950946974125,IR,0.001,0.02
22,2440.6639309962075,-1821.5020517528446,218.01964659938812,1347.3938834972087,888.105265875157,3.4666666666666663,6.500000000000003,6.6,5.133333333333334,7.600000582578811,2.431875248299605,IR,0.001,0.02
23,4166.82991374526,-1821.5020517528446,123.92173230374122,740.8675079717102,466.07648729826207,3.566666666666667,6.2333333333333325,6.7,5.066666666666667,7.700000590244321,4.1864937563854445,IR,0.001,0.02
24,-4464.0,-95.33606900379255,,,,,,,,,,IR,0.001,0.02
25,-2737.834017250948,-95.33606900379255,,,,,,,,,,IR,0.001,0.02
26,-1011.6680345018963,-95.33606900379255,58.381954123096996,344.99874770234896,246.63165421868396,3.266666666666667,6.166666666666669,7.500000000000001,6.0,8.500000651568408,1.9599563460862515,IR,0.001,0.02
27,714.4979482471554,-95.33606900379255,112.0123029109274,707.5764471372545,423.47231764752746,3.366666666666667,5.466666666666669,7.266666666666667,5.866666666666667,8.266667300348882,1.672795117541641,IR,0.001,0.02
28,2440.6639309962075,-95.33606900379255,,,,,,,,,,IR,0.001,0.02
29,4166.82991374526,-95.33606900379255,,,,,,,,,,IR,0.001,0.02
30,-2737.834017250948,1630.8299137452595,,,,,,,,,,IR,0.001,0.02
31,-1011.6680345018963,1630.8299137452595,42.8147778728882,210.09033789992256,122.91228398270577,-1.0,20.96666666666667,8.6,6.133333333333334,9.600000735889024,1.5478867516725536,IR,0.001,0.02
32,714.4979482471554,1630.8299137452595,58.380462607595284,247.54908185422437,125.14456242982267,-1.0,20.96666666666667,8.6,6.133333333333334,9.600000735889024,1.2770075473080968,IR,0.001,0.02
33,2440.6639309962075,1630.8299137452595,,,,,,,,,,IR,0.001,0.02
0,-4464.0,-7000.0,324.0964641398458,1569.1431400431625,1114.5151295087353,-1.0,20.96666666666667,7.266666666666667,4.500000000000001,8.266667300348882,0.7739447665913021,TDD,0.001,0.02
1,-2737.834017250948,-7000.0,43.62221074605571,309.0823238362889,165.08832609594387,3.033333333333333,16.933333333333334,5.066666666666667,3.9,6.066667131707647,0.6785089964913906,TDD,0.001,0.02
2,-1011.6680345018963,-7000.0,252.3145899002435,1177.5765136942941,792.8551388492798,-1.0,20.96666666666667,4.6,7.0,5.600000429268597,1.5860763169151313,TDD,0.001,0.02
3,714.4979482471554,-7000.0,216.42359672392513,1121.6884551607293,926.531844736389,3.0666666666666673,7.000000000000001,4.066666666666667,6.966666666666667,5.06666705505254,1.6870170278264907,TDD,0.001,0.02
4,2440.6639309962075,-7000.0,180.4977114634674,1117.8348611473116,783.0813203716023,3.0666666666666673,6.233333333333332,4.166666666666667,5.7666666666666675,5.166667062718051,1.3765321860771271,TDD,0.001,0.02
5,4166.82991374526,-7000.0,269.034009560093,1451.1726205098073,1147.0445143443726,3.1000000000000005,6.666666666666666,6.566666666666666,4.233333333333333,7.566667246690307,0.6954289884046189,TDD,0.001,0.02
6,-4464.0,-5273.834017250948,183.55629966756578,936.68764686457,638.805669605611,-1.0,13.733333333333334,7.633333333333333,5.4,8.63333399512242,1.1475923766626375,TDD,0.001,0.02
